condition,cfp-condition,config,sequence
3.1,C05,lossless-geom-no-attrs,citytunnel_q1mm
3.1,C05,lossless-geom-no-attrs,overpass_q1mm
3.1,C05,lossless-geom-no-attrs,tollbooth_q1mm
3.1,C05,lossless-geom-no-attrs,ford_03_q1mm
3.1,C05,lossless-geom-no-attrs,ford_02_q1mm
3.1,C05,lossless-geom-no-attrs,ford_01_q1mm
3.2,C06,lossless-geom-lossy-texture,citytunnel_q1mm
3.2,C06,lossless-geom-lossy-texture,tollbooth_q1mm
3.3,C07,lossless-geom-lossy-reflectance,citytunnel_q1mm
3.3,C07,lossless-geom-lossy-reflectance,tollbooth_q1mm
3.4,C08,lossy-geom-no-attrs,ford_01_q1mm
3.4,C08,lossy-geom-no-attrs,ford_02_q1mm
3.4,C08,lossy-geom-no-attrs,ford_03_q1mm
3.5,C09,lossy-geom-no-attrs-inter,ford_01_q1mm
3.5,C09,lossy-geom-no-attrs-inter,ford_02_q1mm
3.5,C09,lossy-geom-no-attrs-inter,ford_03_q1mm
3.6,C10,lossy-geom-lossy-attrs,ford_01_q1mm
3.6,C10,lossy-geom-lossy-attrs,ford_02_q1mm
3.6,C10,lossy-geom-lossy-attrs,ford_03_q1mm
3.7,C11,lossy-geom-lossy-attrs-inter,ford_01_q1mm
3.7,C11,lossy-geom-lossy-attrs-inter,ford_02_q1mm
3.7,C11,lossy-geom-lossy-attrs-inter,ford_03_q1mm
3.8,C12,lossy-geom-no-attrs,citytunnel_q1mm
3.8,C12,lossy-geom-no-attrs,overpass_q1mm
3.8,C12,lossy-geom-no-attrs,tollbooth_q1mm
3.9,C13,lossy-geom-lossy-attrs,citytunnel_q1mm
3.9,C13,lossy-geom-lossy-attrs,overpass_q1mm
3.9,C13,lossy-geom-lossy-attrs,tollbooth_q1mm
